stock_id,exchange,stock_group,industry_code,industry_name
ACG,HOSE,Other,26.0,SX Phụ trợ
POW,HOSE,VN100,22.0,Tiện ích
PHP,UPCOM,Other,,
PHR,HOSE,VN100,18.0,SX Nhựa - Hóa chất
FPT,HOSE,VN30,6.0,Công nghệ và thông tin
DGC,HOSE,Other,18.0,SX Nhựa - Hóa chất
NVL,HOSE,VN100,3.0,Bất động sản
VSC,HOSE,VN100,23.0,Vận tải - kho bãi
PVI,HNX,Other,2.0,Bảo hiểm
IDC,HNX,Other,22.0,Tiện ích
KDC,HOSE,VN100,19.0,Thực phẩm - Đồ uống
DPG,HOSE,VNALL,24.0,Xây dựng
PGV,HOSE,Other,22.0,Tiện ích
NT2,HOSE,VN100,22.0,Tiện ích
DSC,HOSE,VNALL,5.0,Chứng khoán
DHC,HOSE,VNALL,26.0,SX Phụ trợ
MSR,UPCOM,Other,,
BVB,UPCOM,Other,,
EIB,HOSE,VN100,11.0,Ngân hàng
GEX,HOSE,VN100,27.0,Thiết bị điện
GEL,HOSE,Other,1.0,Bán buôn
PDR,HOSE,VN100,3.0,Bất động sản
HNG,UPCOM,Other,,
KDH,HOSE,VN100,3.0,Bất động sản
PAN,HOSE,VN100,19.0,Thực phẩm - Đồ uống
BVH,HOSE,VN100,2.0,Bảo hiểm
HAG,HOSE,VN100,12.0,Nông - Lâm - Ngư
HDG,HOSE,VN100,3.0,Bất động sản
HCM,HOSE,VN100,5.0,Chứng khoán
SAS,UPCOM,Other,,
PLX,HOSE,VN30,1.0,Bán buôn
HPG,HOSE,VN30,21.0,Vật liệu xây dựng
GMD,HOSE,VN100,23.0,Vận tải - kho bãi
VDS,HOSE,VNALL,5.0,Chứng khoán
CTS,HOSE,VN100,5.0,Chứng khoán
VGT,UPCOM,Other,,
HDC,HOSE,VN100,3.0,Bất động sản
DSE,HOSE,VN100,5.0,Chứng khoán
HSG,HOSE,VN100,21.0,Vật liệu xây dựng
